bat_speed,impact_height,ball_length,ball_line,timing,front_foot,shot_type
83.69,30.06,2.992,26.42,0.7849,1,straight_drive
95.41,82.62,6.652,0.09,0.7644,1,pull
109.03,32.38,6.962,9.87,1.0,0,pull
87.74,30.37,3.544,9.57,1.0,1,straight_drive
85.24,53.2,3.996,61.41,0.7319,1,cover_drive
85.5,37.54,3.76,71.54,0.7577,1,cover_drive
111.11,51.81,3.323,41.7,0.8566,1,cover_drive
94.65,30.17,3.279,-41.48,0.4759,0,flick
87.2,66.47,4.344,-80.75,0.5141,1,flick
72.99,14.61,2.125,38.56,0.726,1,straight_drive
94.64,36.14,3.164,-33.35,0.6588,1,flick
86.47,29.52,2.424,31.61,0.9158,1,cover_drive
101.82,35.4,2.137,8.63,0.8198,1,straight_drive
77.13,39.5,3.123,63.84,0.8721,1,cover_drive
103.47,83.79,6.534,-1.87,0.704,0,pull
91.22,68.54,6.724,39.15,0.7138,0,cut
99.62,61.87,2.485,18.07,0.6358,1,straight_drive
105.82,83.79,6.528,72.33,0.713,0,cut
103.03,59.74,3.302,-45.71,0.8477,1,flick
102.55,57.71,2.483,-2.15,0.7749,1,straight_drive
114.05,38.63,2.316,14.75,0.8811,1,straight_drive
114.22,104.43,6.939,-29.37,0.5986,0,pull
98.85,27.89,3.407,14.31,0.7259,1,straight_drive
115.53,60.15,3.613,47.04,0.8393,1,cover_drive
58.88,55.84,4.562,5.21,0.6562,0,defensive
103.95,57.31,2.892,24.04,0.7334,1,cover_drive
99.48,53.16,5.248,53.18,0.7022,0,cut
84.86,56.62,2.867,52.85,0.7664,1,cover_drive
80.66,29.44,2.842,-40.43,0.4082,0,defensive
87.21,25.87,3.312,59.44,0.7423,1,cover_drive
97.63,42.78,3.7,-70.08,0.7251,1,flick
99.59,28.08,4.061,30.79,0.7796,1,cover_drive
101.38,51.6,4.273,12.66,0.4435,0,defensive
90.06,19.6,4.235,6.99,0.1821,1,defensive
85.71,44.26,4.948,-61.21,0.6192,1,flick
93.71,79.03,7.575,-22.56,0.7227,1,pull
76.87,56.72,4.987,46.81,0.917,0,cut
56.03,40.92,6.347,23.89,0.5728,0,defensive
74.23,32.79,3.94,17.37,0.5814,1,defensive
81.91,54.52,3.111,-57.1,0.7416,1,flick
